Country,Bin_Year,RRInc_min,Rrinc_max,Pop,Rrinc_diff,Rrinc_diff_p,Pop_diff_p
China,1988,448,2553,1102,2105,1,1
China,1993,501,3271,1178,2770,1.315914489,1.068965517
China,1998,602,4653,1242,4051,1.462454874,1.054329372
China,2003,703,6215,1288,5512,1.360651691,1.037037037
China,2008,1001,9776,1325,8775,1.591981132,1.028726708
India,1988,413,3092,838,2679,1,1
India,1993,449,3117,928,2668,0.99589399,1.107398568
India,1998,459,3551,1018,3092,1.15892054,1.096982759
India,2003,480,3846,1106,3366,1.088615783,1.086444008
India,2008,533,4492,1191,3959,1.1761735,1.076853526
United States,1988,2636,43279,244,40643,1,1
United States,1993,2746,43930,260,41184,1.013311025,1.06557377
United States,1998,3142,56135,276,52993,1.286737568,1.061538462
United States,2003,3203,60274,290,57071,1.07695356,1.050724638
United States,2008,3283,72925,304,69642,1.220269489,1.048275862
